City_ID,City_Name,City_CountryCode,City_IATACode,City_Latitude,City_Longitude,City_RadiusOverrideMI
729,"Beijing, China",CN,BJS,39.9042140000,116.4074130000,18.0
6573,"Shanghai, China",CN,SHA,31.2303930000,121.4737040000,8.0
233012,"Yabuli, China",CN,HRB,44.7805945729,128.4690909033,3.0
232839,"Cuba (North), Cuba",CU,HAV,23.0631061183,-81.8598405078,51.5
7819,"Varadero, Cuba",CU,VRA,23.1472716273,-81.2680252051,13.0
232764,"Cyprus, Cyprus",CY,CY1,35.0176642730,33.5556298930,75.0
176267,"Limassol, Cyprus",CY,PFO,34.6817780000,33.0431820000,11.0
1907,"Nicosia (Lefkosa), Cyprus",CY,NIC,35.1485760136,33.3640242847,6.0
232765,"Northern Cyprus, Cyprus",CY,ECN,35.3291503000,33.8743519000,50.0
5640,"Paphos, Cyprus",CY,PFO,34.7736858889,32.4214704175,13.0
5860,"Prague, Czech Republic",CZ,PRG,50.0745923607,14.4400293970,8.0
228997,"Spindleruv Mlyn, Czech Republic",CZ,PED,50.7323530000,15.6117260000,1.5
232754,"Augsburg, Bavaria, Germany",DE,MUC,48.3689500000,10.8978400000,3.0
92029,"Augsburg-Göggingen, Augsburg, Bavaria, Germany",DE,MUC,48.3368150000,10.8625810000,2.0
612,"Berlin, Germany",DE,BER,52.5192269940,13.4083100952,9.0
1230,"Cologne, Germany",DE,CGN,50.9406640000,6.9599110000,6.0
2265,"Frankfurt, Germany",DE,FRA,50.1088986839,8.6875027363,10.0
2686,"Hamburg, Germany",DE,HAM,53.5538130000,9.9915860000,6.0
4793,"Munich, Germany",DE,MUC,48.1391270000,11.5801860000,8.0
1417,"Copenhagen, Denmark",DK,CPH,55.6887586289,12.5583267617,7.0
232762,"Dominican Republic, Dominican Republic",DO,PUJ,18.9078985000,-69.4965746672,80.0
57577,"Punta Cana, La Altagracia, Dominican Republic",DO,PUJ,18.5938600000,-68.3826800000,24.0
6501,"Santo Domingo, Dominican Republic",DO,SDQ,18.4573435692,-69.9318345869,6.0
1090,"Cairo, Egypt",EG,CAI,30.0440535278,31.2361819141,16.0
232954,"Giza, Egypt",EG,CAI,30.0107729498,31.2078993299,5.0
2870,"Hurghada, Egypt",EG,HRG,27.2105310113,33.7224158936,15.0
4302,"Luxor, Egypt",EG,LXR,25.6811083470,32.6406324863,20.0
232865,"Makadi, Egypt",EG,HRG,26.9885215500,33.8889923203,7.0
6276,"Marsa Alam, Egypt",EG,RMF,25.0675198489,34.8901102827,80.0
232868,"North Coast, Egypt",EG,CAI,30.9343925000,29.3086517000,20.0
232955,"Red Sea Coast, Egypt",EG,HRG,27.2188245153,33.8716837071,40.0
232864,"Sahl Hasheesh, Egypt",EG,HRG,27.0345906236,33.8571073838,5.0
6846,"Sharm el-Sheikh, Egypt",EG,SSH,27.9584345818,34.3323822959,10.0
232957,"Soma Bay, Egypt",EG,HRG,26.7688829236,33.9424153875,15.0
219,"Alicante, Costa Blanca, Spain",ES,ALC,38.3452100000,-0.4809940000,12.0
232966,"Andalusia, Spain",ES,AGP,36.7962519770,-3.8995781742,90.0
232859,"Baqueria Beret, Spain",ES,TOU,42.6952754000,0.9158446000,12.0
559,"Barcelona, Spain",ES,BCN,41.3874282027,2.1326293904,9.0
232818,"Benalmadena, Costa del Sol, Spain",ES,AGP,36.5975731805,-4.5186889342,2.0
9191,"Benidorm, Costa Blanca, Spain",ES,ALC,38.5401252246,-0.1222708776,6.0
699,"Bilbao, Spain",ES,BIO,43.2624635818,-2.9399204922,12.0
232830,"Costa Almeria, Spain",ES,LEI,36.8395913001,-2.3439362695,21.0
9184,"Costa Blanca, Alicante, Spain",ES,ALC,38.2630768211,-0.0076660703,45.0
9185,"Costa Brava, Catalonia, Spain",ES,ES1,41.8166951747,3.1092497051,21.0
20568,"Costa de Almeria, Spain",ES,LEI,36.7956159264,-2.1516755273,50.0
23552,"Costa de la Luz, Spain",ES,SVQ,36.5427783008,-6.7696661094,60.0
9183,"Costa del Sol, Andalusia, Spain",ES,AGP,36.5318718664,-4.4708672367,41.0
23361,"Costa Dorada (Daurada), Spain",ES,REU,40.8881283698,1.0700234230,30.0
23355,"El Hierro, Canary Islands, Spain",ES,VDE,27.7494740000,-18.0135100000,10.0
22369,"Formentera, Balearic Islands, Spain",ES,IBZ,38.6921270000,1.4589550000,8.0
